Instance,TestId,Prime-limit,Events/s,Total Time,Total Events,execution time (avg/stddev),,,,,,,
m4.large,1,10000,919.07,10.0003,9193,9.9866,,919.07,1101.63,915.17,1031.52,909.51,1208.07
m5.xlarge,1,10000,1101.63,10.0008,11019,9.9984,,38.88,46.7,38.79,43.72,38.68,51.19
t2.2xlarge,1,10000,915.17,10.0004,9154,9.9852,,1.57,1.89,1.56,1.77,1.55,2.07
c4.xlarge,1,10000,1031.52,10.0009,10318,9.9873,,0.06,0.07,0.06,0.07,0.06,0.08
t2.xlarge,1,10000,909.51,10.0009,9098,9.9854,,0.01,0.01,0.01,0.01,0.01,0.01
c5.xlarge,1,10000,1208.07,10.0004,12083,9.9979,,,,,,,
m4.large,2,100000,38.88,10.003,389,10.0016,,,,,,,
m5.xlarge,2,100000,46.7,10.0195,468,10.0189,,,,,,,
t2.2xlarge,2,100000,38.79,10.0013,388,9.9995,,,,,,,
c4.xlarge,2,100000,43.72,10.0165,438,10.015,,,,,,,
t2.xlarge,2,100000,38.68,10.0031,387,10.0013,,,,,,,
c5.xlarge,2,100000,51.19,10.001,512,10.0008,,,,,,,
m4.large,3,1000000,1.57,10.2142,16,10.2139,,,,,,,
m5.xlarge,3,1000000,1.89,10.0712,19,10.071,,,,,,,
t2.2xlarge,3,1000000,1.56,10.2352,16,10.2348,,,,,,,
c4.xlarge,3,1000000,1.77,10.1916,18,10.1913,,,,,,,
t2.xlarge,3,1000000,1.55,10.3256,16,10.3253,,,,,,,
c5.xlarge,3,1000000,2.07,10.15,21,10.1498,,,,,,,
m4.large,4,10000000,0.06,16.5032,1,16.503,,,,,,,
m5.xlarge,4,10000000,0.07,13.6845,1,13.6844,,,,,,,
t2.2xlarge,4,10000000,0.06,16.5485,1,16.5484,,,,,,,
c4.xlarge,4,10000000,0.07,14.6157,1,14.6156,,,,,,,
t2.xlarge,4,10000000,0.06,16.703,1,16.7029,,,,,,,
c5.xlarge,4,10000000,0.08,12.4723,1,12.4722,,,,,,,
m4.large,5,50000000,0.01,163.3637,1,163.3635,,,,,,,
m5.xlarge,5,50000000,0.01,135.3926,1,135.3925,,,,,,,
t2.2xlarge,5,50000000,0.01,163.7763,1,163.7761,,,,,,,
c4.xlarge,5,50000000,0.01,144.6172,1,144.6171,,,,,,,
t2.xlarge,5,50000000,0.01,164.6612,1,164.6611,,,,,,,
c5.xlarge,5,50000000,0.01,123.4137,1,123.4136,,,,,,,