Instance,Testid,bs,Count,Time,Results,,,,,,,Time(s),Speed(Mib/s)
m4.large,1,1,100000,0m19.413s,"1024000000 bytes (1.0 GB, 977 MiB) copied, 19.0681 s, 53.7 MB/s",,,,,,,19.0681,53.7
m5.xlarge,1,1,100000,0m9.213s,"1024000000 bytes (1.0 GB, 977 MiB) copied, 2.5789 s, 397 MB/s",,,,,,,2.5789,397
t2.2xlarge,1,1,100000,0m9.900s,"1024000000 bytes (1.0 GB, 977 MiB) copied, 2.89235 s, 354 MB/s",,,,,,,2.89235,354
c4.xlarge,1,1,100000,0m11.769s,"1024000000 bytes (1.0 GB, 977 MiB) copied, 2.43411 s, 421 MB/s",,,,,,,2.43411,421
t2.xlarge,1,1,100000,0m9.891s,"1024000000 bytes (1.0 GB, 977 MiB) copied, 2.88181 s, 355 MB/s",,,,,,,2.88181,355
c5.xlarge,1,1,100000,0m8.202s,"1024000000 bytes (1.0 GB, 977 MiB) copied, 2.13071 s, 481 MB/s",,,,,,,2.13071,481
m4.large,2,2,150000,0m54.990s,"3072000000 bytes (3.1 GB, 2.9 GiB) copied, 54.5309 s, 56.3 MB/s",,,,,,,54.5309,56.3
m5.xlarge,2,2,150000,0m23.999s,"3072000000 bytes (3.1 GB, 2.9 GiB) copied, 23.8669 s, 129 MB/s",,,,,,,23.8669,129
t2.2xlarge,2,2,150000,0m27.821s,"3072000000 bytes (3.1 GB, 2.9 GiB) copied, 27.5429 s, 112 MB/s",,,,,,,27.5429,112
c4.xlarge,2,2,150000,0m32.935s,"3072000000 bytes (3.1 GB, 2.9 GiB) copied, 32.6079 s, 94.2 MB/s",,,,,,,32.6079,94.2
t2.xlarge,2,2,150000,0m25.829s,"3072000000 bytes (3.1 GB, 2.9 GiB) copied, 25.5481 s, 120 MB/s",,,,,,,25.5481,120
c5.xlarge,2,2,150000,0m22.904s,"3072000000 bytes (3.1 GB, 2.9 GiB) copied, 22.7916 s, 135 MB/s",,,,,,,22.7916,135
m4.large,3,3,200000,1m49.612s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 108.686 s, 56.5 MB/s",,,,,,,108.686,56.5
m5.xlarge,3,3,200000,0m47.047s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 46.7268 s, 131 MB/s",,,,,,,46.7268,131
t2.2xlarge,3,3,200000,0m52.009s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 51.5047 s, 119 MB/s",,,,,,,51.5047,119
c4.xlarge,3,3,200000,1m5.859s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 65.3066 s, 94.1 MB/s",,,,,,,65.3066,94.1
t2.xlarge,3,3,200000,0m49.695s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 49.1707 s, 125 MB/s",,,,,,,49.1707,125
c5.xlarge,3,3,200000,0m45.829s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 45.5385 s, 135 MB/s",,,,,,,45.5385,135
m4.large,4,4,150000,1m49.715s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 107.954 s, 56.9 MB/s",,,,,,,107.954,56.9
m5.xlarge,4,4,150000,0m46.860s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 46.1759 s, 133 MB/s",,,,,,,46.1759,133
t2.2xlarge,4,4,150000,0m52.596s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 51.6993 s, 119 MB/s",,,,,,,51.6993,119
c4.xlarge,4,4,150000,1m6.056s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 65.1942 s, 94.2 MB/s",,,,,,,65.1942,94.2
t2.xlarge,4,4,150000,0m49.680s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 48.3469 s, 127 MB/s",,,,,,,48.3469,127
c5.xlarge,4,4,150000,0m45.940s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 45.3412 s, 136 MB/s",,,,,,,45.3412,136
m4.large,5,2,3500000,1m50.231s,"6597439488 bytes (6.6 GB, 6.1 GiB) copied, 117.136 s, 56.3 MB/s",,,,,,,117.136,56.3
m5.xlarge,5,2,3500000,0m47.119s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 47.0942 s, 130 MB/s",,,,,,,47.0942,130
t2.2xlarge,5,2,3500000,0m54.339s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 54.1229 s, 114 MB/s",,,,,,,54.1229,114
c4.xlarge,5,2,3500000,1m5.762s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 64.9911 s, 94.5 MB/s",,,,,,,64.9911,94.5
t2.xlarge,5,2,3500000,0m49.732s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 49.2117 s, 125 MB/s",,,,,,,49.2117,125
c5.xlarge,5,2,3500000,0m46.265s,"6144000000 bytes (6.1 GB, 5.7 GiB) copied, 45.6767 s, 135 MB/s",,,,,,,45.6767,135